tp,fp,precision,recall_event,f1,f_half,n_flagged,f_half_sd,window,sigma,recall_at_1.5sd,recall_at_2sd,recall_at_3sd,recall_at_4sd,recall_at_6sd,recall_at_8sd
9.24,5493.04,0.0016792246620772047,0.304,0.0033399610181355966,0.002096130023472586,5502.28,0.0006260431739423876,6,2.0,0.5901639344262295,0.6190476190476191,0.48333333333333334,0.6274509803921569,0.4838709677419355,0.6060606060606061
8.48,3478.92,0.002431242733987268,0.2813333333333333,0.004820801182116232,0.0030324980738948644,3487.4,0.0009207594678544869,6,2.5,0.5573770491803278,0.5873015873015873,0.45,0.6078431372549019,0.46774193548387094,0.6060606060606061
7.92,2328.24,0.003389409120578229,0.264,0.00669289019065333,0.004223206274265991,2336.16,0.0013362687488430655,6,3.0,0.5573770491803278,0.5555555555555556,0.38333333333333336,0.5882352941176471,0.43548387096774194,0.6060606060606061
7.64,1626.72,0.00467348679298019,0.2546666666666667,0.009178534195058543,0.00581517925045805,1634.36,0.0017688285604667148,6,3.5,0.5409836065573771,0.5238095238095238,0.38333333333333336,0.5882352941176471,0.41935483870967744,0.5909090909090909
7.36,1181.08,0.00619040073728393,0.24533333333333335,0.012076088210216624,0.007689494089419126,1188.44,0.0023869404579373063,6,4.0,0.4918032786885246,0.5079365079365079,0.38333333333333336,0.5882352941176471,0.4032258064516129,0.5909090909090909
6.68,664.16,0.00994960963973923,0.22266666666666662,0.019048063308875797,0.012299611029123726,670.84,0.0040619208218871375,6,5.0,0.3770491803278688,0.3968253968253968,0.38333333333333336,0.5686274509803921,0.4032258064516129,0.5909090909090909
6.28,422.0,0.014648562703769952,0.20933333333333334,0.027381015111623528,0.017995867303468114,428.28,0.005592627926428057,6,6.0,0.32786885245901637,0.3333333333333333,0.38333333333333336,0.5686274509803921,0.3870967741935484,0.5909090909090909
5.68,189.36,0.029028115483532138,0.18933333333333333,0.05033772741774719,0.03494553999065153,195.04,0.01222713115733548,6,8.0,0.21311475409836064,0.2698412698412698,0.35,0.5490196078431373,0.3870967741935484,0.5757575757575758
5.2,98.6,0.04981578252014243,0.1733333333333333,0.0773848724623151,0.05809423734040747,103.8,0.020641505587723603,6,10.0,0.14754098360655737,0.23809523809523808,0.31666666666666665,0.47058823529411764,0.3870967741935484,0.5757575757575758
28.84,3790.16,0.007548769499803995,0.44800000000000006,0.01484179931089579,0.009395476205405453,3819.0,0.002081432765521115,12,2.0,0.6721311475409836,0.7301587301587301,0.6833333333333333,0.7647058823529411,0.6774193548387096,0.7121212121212122
